title,company,location,description,salary_min,salary_max,contract_type,category,created_date,redirect_url,source,search_term,search_location,collected_date
State Estimation & Modeling Engineer,"Swift Navigation, Inc.","San Francisco, California","Job Description Job Description Salary: $147,000 - $205,000 Swift Navigation is hiring. Were the market leader in automotive precision GNSS and have been awarded programs for a total of more than 10 million ADAS-enabled and autonomous vehicles worldwide across 20 automotive OEMs & suppliers as well as multiple mobile handset OEMs . Our flagship service is Skylark , a 24/7 GNSS corrections service that allows for centimeter-level navigation - safely. Skylark consists of a global GNSS station net…",87599.56,87599.56,,Engineering Jobs,2025-06-25T11:44:17Z,https://www.adzuna.com/details/5267619422?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"San Francisco, CA",2025-06-25 12:52:04
Software Engineer II - ABC News Roku Job at The Walt Disney Company in San Franc,The Walt Disney Company,"San Francisco, California","Software Engineer II - ABC News Roku Job ID: 10118452 Location: New York, New York, United States / Santa Monica, California, United States / Glendale, California, United States / San Francisco, California, United States / Seattle, Washington, United States Business: Disney Entertainment Date posted: Apr. 21, 2025 Job Summary: Disney Entertainment & ESPN Technology On any given day at Disney Entertainment & ESPN Technology, we’re reimagining ways to create magical viewing experiences for the wo…",142340.62,142340.62,,Creative & Design Jobs,2025-06-25T11:41:10Z,https://www.adzuna.com/details/5267616446?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"San Francisco, CA",2025-06-25 12:52:04
"Manager, Software Engineer - Video Playback (Apple)",Disneyland Hong Kong,"San Francisco, California","Manager, Software Engineer - Video Playback (Apple) On any given day at Disney Entertainment & ESPN Technology, we’re reimagining ways to create magical viewing experiences for the world’s most beloved stories while also transforming Disney’s media business for the future. Whether that’s evolving our streaming and digital products in new and immersive ways, powering worldwide advertising and distribution to maximize flexibility and efficiency, or delivering Disney’s unmatched entertainment and …",145218.66,145218.66,,IT Jobs,2025-06-25T11:23:31Z,https://www.adzuna.com/details/5267599605?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"San Francisco, CA",2025-06-25 12:52:04
Full-Stack Web Developer,Forterra,"San Francisco, California","Join to apply for the Full-Stack Web Developer role at Forterra Join to apply for the Full-Stack Web Developer role at Forterra About Forterra Forterra is a leading provider of autonomous systems for ground-based movement in the working world. Amongst some of the earliest innovators in the field of driverless technology, Forterra is focused on building systems that protect front-line soldiers and enable civilian workers in our industrial base. Forterra is the go-to provider of ground autonomy s…",135152.03,135152.03,,IT Jobs,2025-06-25T11:22:33Z,https://www.adzuna.com/details/5267599093?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"San Francisco, CA",2025-06-25 12:52:04
"Head of Engineering - Technology, Media, Telecom",Fractal,"San Francisco, California","Head of Engineering - Technology, Media, Telecom Head of Engineering - Technology, Media, Telecom Get AI-powered advice on this job and more exclusive features. Fractal Analytics is a strategic AI partner to Fortune 500 companies with a vision to power every human decision in the enterprise. Fractal is building a world where individual choices, freedom, and diversity are the greatest assets. An ecosystem where human imagination is at the heart of every decision. Where no possibility is written …",199701.75,199701.75,,IT Jobs,2025-06-25T11:22:32Z,https://www.adzuna.com/details/5267599087?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"San Francisco, CA",2025-06-25 12:52:04
"UX Designer, Retail Ads",Google,"San Francisco, California","Note: By applying to this position you will have an opportunity to share your preferred working location from the following: Mountain View, CA, USA; San Francisco, CA, USA . Minimum qualifications: Bachelor's degree or equivalent practical experience. 4 years of interaction design experience in product design or UX design. Include a portfolio, website, or any other relevant link to your work in your resume (providing a viewable link or access instructions). Preferred qualifications: Master's de…",164784.05,164784.05,,IT Jobs,2025-06-25T11:21:18Z,https://www.adzuna.com/details/5267598114?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"San Francisco, CA",2025-06-25 12:52:04
Software Engineering Architect - Marketing Automation,salesforce,"San Francisco, California","Salesforce.com Inc's Candidate Privacy Notice contains more details about the handling and use of the personal data of job applicants. For more information about our website privacy practices, please see our Privacy Statement. Software Engineering Architect - Marketing Automation page is loaded Software Engineering Architect - Marketing Automation Apply remote type Office - Flexible locations California - San Francisco time type Full time posted on Posted 2 Days Ago job requisition id JR282484 …",137640.88,137640.88,,IT Jobs,2025-06-25T11:21:17Z,https://www.adzuna.com/details/5267598108?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"San Francisco, CA",2025-06-25 12:52:04
"Sr Product Engineer, Growth Technology - Performance Marketing",Apartment List,"San Francisco, California","As a Sr Product Engineer embedded within our Performance Marketing team, you will bridge the gap between product management and software engineering, driving the development of scalable marketing solutions that power Apartment List’s growth strategy. This blended role requires both strategic product thinking and strong technical expertise to manage essential platforms enabling our digital marketing channels, generating substantial revenue growth through technology innovation. While reporting in…",172984.94,172984.94,,IT Jobs,2025-06-25T11:21:11Z,https://www.adzuna.com/details/5267597919?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"San Francisco, CA",2025-06-25 12:52:04
Senior Engineers,American Express,"Grand Central, Manhattan","Description American Express Travel Related Services Company, Inc. seeks Senior Engineers to serve as a core member of an engineering team to develop digital and automated solutions for our customers. Develop and design software applications, translating user needs into systems architecture. Assess and validate application performance and integration of component systems and provide process flow diagrams. Test the engineering resilience of software and automation tools. Assess and incorporate u…",149065.33,149065.33,,IT Jobs,2025-06-25T12:38:10Z,https://www.adzuna.com/details/5267696639?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"New York, NY",2025-06-25 12:52:08
"Software Engineer, Product",Meta,"Grand Central, Manhattan","Summary: Meta Platforms, Inc. (Meta), formerly known as Facebook Inc., builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps and services like Messenger, Instagram, and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To apply, click …",101989.12,101989.12,,IT Jobs,2025-06-25T12:38:07Z,https://www.adzuna.com/details/5267696572?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"New York, NY",2025-06-25 12:52:08
"Software Engineering Manager, Machine Learning",Meta,"Grand Central, Manhattan","Summary: Meta is seeking a highly motivated and experienced Software Engineering Manager to join our team. As an engineering manager you will support, enable and empower your team, managing high performing engineers to make a meaningful impact on billions of people around the world. Software Engineering Managers are clearly characterized by progressive technical experience and demonstrated progression in management responsibility. Required Skills: Software Engineering Manager, Machine Learning …",124761.05,124761.05,,IT Jobs,2025-06-25T12:38:07Z,https://www.adzuna.com/details/5267696533?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"New York, NY",2025-06-25 12:52:08
Machine Learning Software Engineering Manager,Meta,"Grand Central, Manhattan","Summary: Meta is seeking a highly motivated and experienced Software Engineering Manager to join our team. As a leader in the tech industry, we are looking for someone who can drive innovation, collaboration, and technical proven experience. Required Skills: Machine Learning Software Engineering Manager Responsibilities: - Lead and manage a team of software engineers to deliver high-quality products and solutions - Collaborate with cross-functional teams to drive technical innovation and proven…",116489.67,116489.67,,IT Jobs,2025-06-25T12:38:07Z,https://www.adzuna.com/details/5267696550?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"New York, NY",2025-06-25 12:52:08
"Product Security Engineer, Web",Meta,"Grand Central, Manhattan","Summary: Meta's Product Security team is seeking a hacker who derives purpose in life by revealing potential weaknesses and then crafting creative solutions to eliminate those weaknesses. Your skills will be the foundation of security initiatives that protect the security and privacy of over two billion people. You will be relied upon to provide engineering and product teams with the web, mobile, or native-code security expertise necessary to make confident product decisions. Come help us make …",83620.78,83620.78,,IT Jobs,2025-06-25T12:38:07Z,https://www.adzuna.com/details/5267696580?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"New York, NY",2025-06-25 12:52:08
"Software Engineer, Audio",Meta,"Grand Central, Manhattan","Summary: At Meta, we're building products that revolutionize the way people connect, work, and play. Our audio teams are at the forefront of this innovation, developing cutting-edge technologies that redefine the way we experience sound in virtual and augmented worlds.Our teams are dedicated to creating a considerate and honest environment where self-motivated individuals thrive. We encourage ownership, creativity, and collaboration, and we're passionate about making science fiction real.Join u…",82900.44,82900.44,,IT Jobs,2025-06-25T12:38:07Z,https://www.adzuna.com/details/5267696567?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"New York, NY",2025-06-25 12:52:08
"Software Engineer, OS Frameworks",Meta,"Grand Central, Manhattan","Summary: Meta is building products that make it easier for people to connect with the ones they love most, enjoy top-notch experiences, and push the future of computing platforms. We are a team of world-class experts developing and shipping products at the intersection of hardware, software, and content.As an OS Frameworks Engineer at Meta, you can help build new, innovative hardware and software that radically redefine the way people work, play, and connect. What we build today could one day b…",105116.07,105116.07,,IT Jobs,2025-06-25T12:38:07Z,https://www.adzuna.com/details/5267696584?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"New York, NY",2025-06-25 12:52:08
"Software Engineer, OS Frameworks",Meta,"Grand Central, Manhattan","Summary: Meta is building products that make it easier for people to connect with the ones they love most, enjoy top-notch experiences, and push the future of computing platforms. We are a team of world-class experts developing and shipping products at the intersection of hardware, software, and content.As an OS Frameworks Engineer at Meta, you can help build new, innovative hardware and software that radically redefine the way people work, play, and connect. What we build today could one day b…",104297.45,104297.45,,IT Jobs,2025-06-25T12:38:07Z,https://www.adzuna.com/details/5267696594?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"New York, NY",2025-06-25 12:52:08
"Software Engineer, Android",Meta,"Grand Central, Manhattan","Summary: Meta is seeking talented engineers to join our teams in building cutting-edge products that connect billions of people around the world. As a member of our team, you will have the opportunity to work on complex technical problems, build new features, and improve existing products across various platforms, including mobile devices and web applications. Our teams are constantly pushing the boundaries of user experience, and we're looking for passionate individuals who can help us advance…",139974.89,139974.89,,IT Jobs,2025-06-25T12:38:07Z,https://www.adzuna.com/details/5267696529?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"New York, NY",2025-06-25 12:52:08
"Software Engineer, Graphics Rendering",Meta,"Grand Central, Manhattan","Summary: Meta is seeking skilled engineers to join our team and contribute to the development of innovative graphics frameworks, algorithms, and tools that maximize quality and performance. As a key member of our engineering team, you will collaborate with cross-functional teams across Meta to create real-time rendering architecture, build high-quality digital representations of people, and enhance real-time systems. Your expertise in creating high-quality, performant, and maintainable code wil…",96749.4,96749.4,,IT Jobs,2025-06-25T12:38:07Z,https://www.adzuna.com/details/5267696547?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"New York, NY",2025-06-25 12:52:08
Electrical Engineering Manager,Meta,"Grand Central, Manhattan","Summary: Meta is seeking an Electrical Engineering Manager to lead our team in incubating research into product-level readiness. You'll assess the intake of requirements, manage program schedules, identify risks, and communicate with stakeholders. As a liaison between researchers, mechanical, electrical, and software engineers, you'll determine project priorities and feasibility. Your expertise will guide EE design and architecture for custom systems. This complex role offers the opportunity to…",147912.06,147912.06,,Engineering Jobs,2025-06-25T12:38:07Z,https://www.adzuna.com/details/5267696597?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"New York, NY",2025-06-25 12:52:08
"Research Scientist, Systems and Infrastructure (PhD)",Meta,"Grand Central, Manhattan","Summary: Meta is seeking talented engineers to join our teams in building cutting-edge products that connect billions of people around the world. As a member of our team, you will have the opportunity to work on complex technical problems, build new features, and improve existing products across various platforms, including mobile devices and web applications. Our teams are constantly pushing the boundaries of user experience, and we're looking for passionate individuals who can help us advance…",131203.62,131203.62,,IT Jobs,2025-06-25T12:38:07Z,https://www.adzuna.com/details/5267696596?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"New York, NY",2025-06-25 12:52:08
"Product Security Engineer, Native",Meta,"Grand Central, Manhattan","Summary: Meta's Product Security team is seeking a hacker who derives purpose in life by revealing potential weaknesses and then crafting creative solutions to eliminate those weaknesses. Your skills will be the foundation of security initiatives that protect the security and privacy of over two billion people. You will be relied upon to provide engineering and product teams with the web, mobile, or native-code security expertise necessary to make confident product decisions. Come help us make …",110940.77,110940.77,,IT Jobs,2025-06-25T12:38:07Z,https://www.adzuna.com/details/5267696534?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"New York, NY",2025-06-25 12:52:08
Software Engineer (Technical Leadership) - Machine Learning,Meta,"Grand Central, Manhattan","Summary: Meta is seeking talented principal engineers to join our teams in building cutting-edge products that connect billions of people around the world. As a member of our team, you will oversee complex technical problems, build new features, and improve existing products across various platforms, including mobile devices and web applications. Our teams are constantly pushing the boundaries of user experience, and we're looking for passionate individuals who can help us advance the way peopl…",138120.3,138120.3,,Engineering Jobs,2025-06-25T12:38:07Z,https://www.adzuna.com/details/5267696530?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"New York, NY",2025-06-25 12:52:08
"Security Engineer, Incident Response",Meta,"Grand Central, Manhattan","Summary: Meta Security is looking for an Incident Response Engineer with experience coordinating, investigating and responding to internal and external threats. You will help the team establish, lead and execute multi-year roadmaps to mature investigative and response services, drawing upon automation and cross functional partnerships to create scalable and maintain high standards of operational competence. Required Skills: Security Engineer, Incident Response Responsibilities: - Conduct securi…",99451.88,99451.88,,IT Jobs,2025-06-25T12:38:07Z,https://www.adzuna.com/details/5267696539?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"New York, NY",2025-06-25 12:52:08
"Product Security Engineer, Technical Lead",Meta,"Grand Central, Manhattan","Summary: Meta's Product Security team is seeking a experienced hacker who derives purpose in life by revealing potential weaknesses and then crafting creative solutions to eliminate those weaknesses. Your skills will be the foundation of security initiatives that protect the security and privacy of over two billion people. You will be relied upon to provide engineering and product teams with the web, mobile, or native code security expertise necessary to make informed product decisions. Come he…",96249.04,96249.04,,IT Jobs,2025-06-25T12:38:07Z,https://www.adzuna.com/details/5267696569?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"New York, NY",2025-06-25 12:52:08
"Software Engineer, Machine Learning",Meta,"Grand Central, Manhattan","Summary: Meta is seeking talented engineers to join our teams in building cutting-edge products that connect billions of people around the world. As a member of our team, you will have the opportunity to work on complex technical problems, build new features, and improve existing products across various platforms, including mobile devices and web applications. Our teams are constantly pushing the boundaries of user experience, and we're looking for passionate individuals who can help us advance…",125527.02,125527.02,,IT Jobs,2025-06-25T12:38:07Z,https://www.adzuna.com/details/5267696521?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"New York, NY",2025-06-25 12:52:08
"Data Engineering Manager, Analytics",Meta,"Grand Central, Manhattan","Summary: We're looking for a leader in our Data Engineering team to work closely with Product Managers, Data Scientists and Software Engineers to support product launches and roadmaps by building the data architecture that informs and drives insight. In this role, there will be a direct link between your work, company growth, and user satisfaction. You'll work with some of the brightest minds in the industry, work with one of the richest data sets in the world, use cutting edge technology, and …",130047.96,130047.96,,IT Jobs,2025-06-25T12:38:07Z,https://www.adzuna.com/details/5267696556?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"New York, NY",2025-06-25 12:52:08
"Software Engineer, Android",Meta,"Grand Central, Manhattan","Summary: Meta is seeking talented engineers to join our teams in building cutting-edge products that connect billions of people around the world. As a member of our team, you will have the opportunity to work on complex technical problems, build new features, and improve existing products across various platforms, including mobile devices and web applications. Our teams are constantly pushing the boundaries of user experience, and we're looking for passionate individuals who can help us advance…",139610.94,139610.94,,IT Jobs,2025-06-25T12:38:07Z,https://www.adzuna.com/details/5267696519?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"New York, NY",2025-06-25 12:52:08
Linguistic Engineering Manager,Meta,"Grand Central, Manhattan","Summary: Meta is seeking a Linguistic Engineering Manager, you will lead a team of linguistic engineers in designing and developing datasets, models, and representations across languages, knowledge, and evaluation systems that drive our AI multimodal assistant. You will communicate a mission and strategy for your team, aligned with organizational objectives and key business outcomes. In collaboration with cross-functional teams, you will drive the development of innovative solutions, leveraging…",161696.27,161696.27,,IT Jobs,2025-06-25T12:38:07Z,https://www.adzuna.com/details/5267696541?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"New York, NY",2025-06-25 12:52:08
Site Reliability Engineer,Beatport,"Seattle, King County","Job Description Job Description Salary: $115,000 - $130,000 (depending on experience) plus bonus programme About Beatport For over 20 years, Beatport has been the global leader in DJ and club culture, pushing the boundaries of dance music to all corners of the world. Created by DJs for DJs, Beatport has always been dedicated to innovating new products and services to support evolving generations of music performers and producers. The Beatport Group includes some of the best-known brands in DJ c…",147341.58,147341.58,,IT Jobs,2025-06-25T11:46:18Z,https://www.adzuna.com/details/5267625549?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Seattle, WA",2025-06-25 12:52:12
Senior Software Development Engineer Full Stack,Replenium,"Seattle, King County","Job Description Job Description Salary: Replenium (Rp) delivers intelligent product replenishment solutions which fundamentally improve the way consumers shop for everyday products. With Replenium, any retailer or brand can offer their customers ways to discover, manage and replenish products with little effort in a fraction of the time of traditional shopping. Our leadership has a stellar track record of success, has created several shopping innovations. Were a fun team that is growing and wer…",102129.08,102129.08,,IT Jobs,2025-06-25T11:46:14Z,https://www.adzuna.com/details/5267625280?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Seattle, WA",2025-06-25 12:52:12
Senior Data Engineer,Key2Source INC,"Seattle, King County","Job Description Job Description Qualifications Required :- 5 years of software or data engineering experience. Familiarity with data pipelines and orchestration frameworks (Spark, Hadoop, Databricks, Airflow). Demonstrated expertise in modeling data to support business needs at scale. Strong programming skills in Java, Scala or Python. Knowledge of data warehouse solutions, including Databricks and Snowflake, with the ability to weigh the tradeoffs when choosing a technology. You are a problem …",105480.49,105480.49,,IT Jobs,2025-06-25T11:46:05Z,https://www.adzuna.com/details/5267624792?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Seattle, WA",2025-06-25 12:52:12
Civil Engineer/Mid-Level,Facet,"Seattle, King County","Job Description Job Description Salary: $93,000 to $130,000 Join Our Facet Team Facet is a fast-growing energetic civil and structural engineering and environmental consulting firm with six offices in Washington. We are engineers, scientists, arborists, landscape architects, planners, and more, with decades of experience working throughout the PNW and the nation. Job Description We are seeking a motivated and talented Civil Engineer with experience in public works and stream-related projects to…",95817.31,95817.31,,Engineering Jobs,2025-06-25T11:44:54Z,https://www.adzuna.com/details/5267621481?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Seattle, WA",2025-06-25 12:52:12
Sr Software Engineer,Acerca,"Seattle, King County","Job Description Job Description Salary: This position can be located in Seattle. We are looking for a passionate Sr. Engineer wholl provide strategic and practical advice to boost our product development. Youll be part of the team developing a groundbreaking product. The ideal candidate will be a strategic thinker and a builder. We want to see proactive with lots of enthusiasm, ready to make a difference. Knowledge of our industry matters is paramount. We aim to ensure that our product exceeds …",146779.47,146779.47,,IT Jobs,2025-06-25T11:44:47Z,https://www.adzuna.com/details/5267621002?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Seattle, WA",2025-06-25 12:52:12
Senior Controls Engineer,Continuous Composites Inc,"Seattle, King County","Job Description Job Description Salary: Senior Controls Engineer Company Summary: Continuous Composites, headquartered in downtown Coeur dAlene, Idaho, is the industry leader of Continuous Fiber 3D Printing (CF3D). We are developing a novel manufacturing method for carbon fiber composite components, primarily for aerospace customers This position is in Coeur dAlene, Idaho or Seattle, Washington Your Role on the Team: Were looking for an experienced and versatile Senior Controls Engineer who is …",106423.73,106423.73,,Engineering Jobs,2025-06-25T11:44:15Z,https://www.adzuna.com/details/5267619321?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Seattle, WA",2025-06-25 12:52:12
IT Consulting Services Manager,Seitel Systems,"Seattle, King County","Job Description Job Description Salary: $125,000 - $150,000 DOE IT Consulting Services Manager Overview Slow down, we do things a little differently here at Seitel Systems and this job posting is no exception! Lets get the basics out of the way in that we are growing and need to add more smart folks to our team, so this posting is for full-time position starting just as soon as we find the right person. Please note, local candidates only. We will not accept applicants who don't live near the Pu…",90996.15,90996.15,,Consultancy Jobs,2025-06-25T11:43:56Z,https://www.adzuna.com/details/5267618271?utm_medium=api&utm_source=9c54ed3b,adzuna,Software Engineer,"Seattle, WA",2025-06-25 12:52:12
